name,lora,rank,alpha,dropout,test_acc,params,hub_pushable
baseline,No,0,0,0.0,0.77909999992209,38500,False
lora_r2_a2,Yes,2,2,0.1,0.8733999999126602,75364,True
lora_r2_a4,Yes,2,4,0.1,0.87719999991228,75364,True
lora_r2_a8,Yes,2,8,0.1,0.8745999999125399,75364,True
lora_r4_a2,Yes,4,2,0.1,0.87269999991273,112228,True
lora_r4_a4,Yes,4,4,0.1,0.8763999999123601,112228,True
lora_r4_a8,Yes,4,8,0.1,0.8777999999122202,112228,True
lora_r8_a2,Yes,8,2,0.1,0.8724999999127501,185956,True
lora_r8_a4,Yes,8,4,0.1,0.87509999991249,185956,True
lora_r8_a8,Yes,8,8,0.1,0.8774999999122501,185956,True
lora_partial_freeze,Yes,8,8,0.1,0.8711999999128801,185956,False
optuna_best_r2_a2,Yes,2,2,0.1,0.8509999999149,75364,True
